,n,p,q,alpha1,alpha2,beta1,beta2,p0,p1,q0,q1,weight
289,797,33774422602919140585730411489969262195586409011795565639723428586290973904287392325,5996643567874741587549707954567755873065370996868154128163410594841412962150844516,803539519192929916552828258942768577077856485554450909092677591404702667035672981940,33237808111854214521643502338236105576493851151450164909946487847502791106100495037,33237808111854214521643502338236105576493851151450164909946487847502791106100495037,504102584186279746896379083401987814979834683534787270447100120078232538918239010,797,6509757429070914743924008309828829377565,1,77437998217120395728776728661988058847754,803539519192929916552828258942768577077856485554450909092677591404702667035672981940
290,798,32,25,399,20,80,1,2,4,1,5,399
291,799,64,17,272,9,423,8,1,8,17,1,423
292,805,81,80,161,36,360,1,1,9,5,4,360
293,806,31,18,91,3,372,7,31,1,2,3,372
294,807,415681879805284,40681805176441,260082211999324,14562450054205,11751897193743435,130041105999662,1,20388278,1,6378229,11751897193743435
295,813,196,75,420,11,2981,70,1,14,3,5,2981
296,814,74,25,740,21,231,5,74,1,1,5,740
297,815,4007741050385284,3642335055801121,47730888213020415,3820672155837442,7641344311674884,58565507009841,1,63306722,1,60351761,47730888213020415
298,821,672419525,37429924,9091409180,671376957,671376957,5536790,821,905,1,6118,9091409180
299,822,63685236050,49283556001,817723977783,39614611555,158458446220,1989596053,2,178445,1,221999,817723977783
300,823,3242635455264585956601518619150703534549412676347725149402642778377509709168016,1195374870805855749961759118845148692286556133409866986910805318758576537878009,3937595681838038424141405384941960613275517249593942043355995419020521105630024,105070500048969621729308944914753656918906001855686722089371463219797881540685,86473021540301998683221261664842259644259639527230172279552714229893656507983755,1968797840919019212070702692470980306637758624796971021677997709510260552815012,1,1800731922098507686862624200977450853996,1,1093332003924633933040927920553338780747,86473021540301998683221261664842259644259639527230172279552714229893656507983755
301,829,1030055240843789503113650334926694761339101122026725,177750573637318822104546934614413436162693927477444,24640131682983623178829597068444394717800931379413380,1014602647720456768352800585815185482663467704571683,1014602647720456768352800585815185482663467704571683,14861358071763343292418333575660069190471008069610,829,1114687145192391935645405,1,13332313139036257353598962,24640131682983623178829597068444394717800931379413380
302,830,6723,1682,86652,2911,14555,261,83,9,2,29,86652
303,831,6650436108390733,529824935498508,108223547882689044,6629297547215035,6629297547215035,65116454803062,277,4899877,3,13289406,108223547882689044
304,838,128300399536533744621494450,3013299452291575001275249,55613489273896661396555380,6266155739442065520353889,2625519254826225453028279491,13903372318474165349138845,2,8009381984165,1,1735885783193,2625519254826225453028279491
305,839,921024090000,798612109801,13289579255069,857636864700,1715273729400,15839784571,1,959700,1,893651,13289579255069
306,853,2063644701214713560377801387332325,1714573714638475303870575201815556,1148419100295003218187119007524317,64405214131573106625408936066030,109875295308463719902947644928647180,1148419100295003218187119007524317,853,1555403055469705,1,41407411349159166,109875295308463719902947644928647180
307,854,11767,1458,30996,1495,91195,1107,7,41,2,27,91195
308,861,2541,2500,2911,550,23100,71,21,11,1,50,23100
309,862,2016643668909039569085152743098413287200,1974330716960706704228129795667231395761,8531291232658740080341598959656471220793,1410943220099847626051955721460152807860,5643772880399390504207822885840611231440,19794179194103805290815774848390884503,2,31754083744528352940,1,44433441426033013319,8531291232658740080341598959656471220793
310,863,1865955041348432071713419570491743304896576,1858782575121402159177467199382221005546449,4801616785702387275692892370536687799606945,1862365355352810736294908958876432558773432,3724730710705621472589817917752865117546864,5563866495599521756306943650679823638015,1,1365999649102602102024,1,1363371767025194841143,4801616785702387275692892370536687799606945
311,866,361,72,456,17,7361,114,1,19,2,6,7361
312,869,475904,286225,3379383,111280,2448160,42777,11,208,1,535,3379383
313,870,145,24,3480,143,143,2,145,1,6,2,3480
314,871,13293316,12809241,104907595,13049034,26098068,120445,1,3646,1,3579,104907595
315,877,8426023978582911503830444690267601350433831421925,81307125890381364089453146670538087002747953764,49023627361468276158191534335209689811636202311660,8425631681893865147798605760237376958966954058077,8425631681893865147798605760237376958966954058077,27949616511669484696802471114714760439929419790,877,98019289159914592820005,1,285144044108203957571958,49023627361468276158191534335209689811636202311660
316,878,4892629929800,4646443224721,32108324813901,3371448293270,13485793173080,73139692059,2,1564070,1,2155561,32108324813901
317,879,3844,3481,48345,3658,7316,55,1,62,1,59,48345
318,885,399424,205379,1326795,37288,4399984,88453,1,632,59,59,4399984
319,886,6568985816978,4971575468209,90369852983223,4040928651851,16163714607404,203995153461,2,1812317,1,2229703,90369852983223
320,887,4536847899397194814782383112783728104152935409787863620887731098256,376228287896231431732378232468716810769990224188408143567460976969,2612960403554420972503955096781782686707583930203516117909276227016,151807750676090879308127716926304739020584709277174716806159503485,134653474849692609946309284913632303511258637128853973807063479591195,1306480201777210486251977548390891343353791965101758058954638113508,1,2129987769776435785528571874098484,1,613374508678206671797659663089437,134653474849692609946309284913632303511258637128853973807063479591195
321,889,64,63,127,24,336,1,1,8,7,3,336
322,890,49,40,267,14,280,3,1,7,10,2,280
323,893,98976113486833636,3224135528266411,155732278926495436,14429488122218085,678185941744249995,4098217866486722,1,314604694,19,13026563,678185941744249995
324,894,1391283,10658,596556,113975,16982275,49713,3,681,2,73,16982275
325,895,142805,86636,113523,3718,6655220,113523,5,169,179,22,6655220
326,901,2873,848,93704,2745,2745,52,17,13,53,4,93704
327,902,5281250,5276209,4899213,3732625,14930500,10863,2,1625,1,2297,14930500
328,903,172,3,516,65,455,2,43,2,3,1,516
329,905,181,180,19,6,10860,19,181,1,5,6,10860
330,910,65,56,33,2,3640,33,65,1,14,2,3640
331,911,10337603501168361479121072317589371823133263769269309465600,10251038973842988792231450622875404412229672018176136927201,40294245257278722681073363754739177129016784089420837029383,10294230247406194889623327861926923983410247399539980031840,20588460494812389779246655723853847966820494799079960063680,44230785134224723030815986558440370064782419417585990153,1,101674006024983403715286392160,1,101247414652636878045579297649,40294245257278722681073363754739177129016784089420837029383
332,915,244,1,244,63,945,2,61,2,1,1,945
333,917,6243557649986596,1330622224234371,65979511071975972,2305628412171265,16139398885198855,251830194931206,1,79016186,131,3187071,65979511071975972
334,919,172438957409290000,94730381860226121,4368029250523874411,127809265246934700,255618530493869400,4753024211669069,1,415257700,1,307783011,4368029250523874411
335,926,86485853224649872668557955872,4336954975876583369002712209,54778481284940868173751975728,4014281639748811435248094809,1858612399203699694519867896567,13694620321235217043437993932,2,207949336647956,1,65855561465047,1858612399203699694519867896567
336,933,1180457237875251598830000,821142362599087465303081,14955687976751419186796773,568425734010485340947100,3410554404062912045682600,48089028864152473269443,3,627284421900,1,906169058509,14955687976751419186796773
337,934,37538,289,9316,1737,811179,2329,2,137,1,17,811179
338,935,2704,2209,47685,2444,4888,51,1,52,1,47,47685
339,941,45445208211554090721215702021,45093936839814465880092660100,5639486650248149942655297021,1475734781143394367035174410,2777332858111868198760198239620,5639486650248149942655297021,941,6949430837141,1,212353330183010,2777332858111868198760198239620
340,942,1673306,1190281,2037045,79643,50015804,679015,314,73,1,1091,50015804
341,943,34481,9200,1093880,33231,33231,580,41,29,23,20,1093880
342,949,949,900,301,30,56940,301,949,1,1,30,56940
343,951,196,121,4755,154,308,5,1,14,1,11,4755
344,957,29,4,116,5,165,2,29,1,1,2,165
345,958,8227224286063797798196820892172800,7536459073489487535964603134454081,72220723878848212872570635334931409,5567950211717889459663876692267280,22271800846871557838655506769069120,150773953818054724159855188590671,2,64137447275611920,1,86812781740303009,72220723878848212872570635334931409
346,959,5184,4225,93023,4680,9360,97,1,72,1,65,93023
347,965,1368547063155978485,72225290780597956,19532964930901382740,1366639883599374483,1366639883599374483,10120707218083618,965,37658777,1,268747634,19532964930901382740
348,966,23,2,92,5,105,1,23,1,2,1,105
349,967,1669158917895536251704589403770563104478686864745616,991936373451122630263885658159644238540608455699609,41745450666099450273925315044462010768286351726917555,1286739850836562216937434795609364508139775509388988,2573479701673124433874869591218729016279551018777976,43170062736400672465279539859836619201950725674165,1,40855341363101303203686796,1,31495021407376795594262853,41745450666099450273925315044462010768286351726917555
350,973,5476,1251,61716,2015,14105,222,1,74,139,3,61716
351,974,2927411969212856264181512,129458146762062069194929,1741211827075327613414072,132523923110380209303837,64539150554755161930968619,435302956768831903353518,2,1209837172766,1,359802927673,64539150554755161930968619
352,982,22599162783624879100060329302450,1855038663733663467087769013329,18313343928760806001580010104780,1016444213550524489801711692557,499074108853307524492640441045487,4578335982190201500395002526195,2,3361484998004965,1,1361998041016823,499074108853307524492640441045487
353,983,34499614166703093964327810353786154232194081202481758752971756816,27595011125826459222677977624378565666052727191819391300400129209,649191943927531757313602763667535820748924354428740743798787856805,30854776563230724630695758342864898041108219607034159503457786612,61709553126461449261391516685729796082216439214068319006915573224,660419068084976355354631499153139186926677878360875629500292835,1,185740717578841861123185796050396,1,166117461832964625942747552445547,649191943927531757313602763667535820748924354428740743798787856805
354,985,26569,6724,26732,819,806715,13366,1,163,1,82,806715
355,987,336,289,1175,68,2856,25,21,4,1,17,2856
356,989,44548856356,23518926067,181448605791,4936200542,424513246612,7889069817,1,211066,43,23387,424513246612
357,991,139113978859943328654400,126099694516817139337521,1849459937818893502144063,132447084668775594748680,264894169337551189497360,1866256244015028760993,1,372979863880,1,355105187961,1849459937818893502144063
358,995,320,121,880,21,4179,88,5,8,1,11,4179
359,997,42213709768307514171686429890363488527317316427348844504307265329655015861152197726745537308248325,3761555284456864241854415331157386556136120253716483379037244121900171126528942748431935644922916,795770910366391726243111028197892857565035692612811812759770038373432780684601376558259852481489540,42045784500290583601169350167524066632293909499680451537042308010444196669128265360595820330636163,42045784500290583601169350167524066632293909499680451537042308010444196669128265360595820330636163,399082703293075088386715661082193007805935653266204519939704131581460772660281532877763215888410,997,205768636979011246293067486487264646177793235665,1,1939472939861978131500861593607331562307144802554,795770910366391726243111028197892857565035692612811812759770038373432780684601376558259852481489540
360,998,99017507481041765919078929839247234450,45684092521200925325386025716112737489,1962395935752514079092246139955147402261,47557990774330536327578231352696300805,190231963097322145310312925410785203220,3932657185876781721627747775461217239,2,7036245713483923165,1,6759000852285855817,1962395935752514079092246139955147402261
361,1003,3969,944,29736,935,15895,252,1,63,59,4,29736
362,1005,1596125,1444804,9617247,679130,6791300,47847,5,565,1,1202,9617247
363,1006,2643226632,2636103649,4349149763,1866523422,7466093688,8646421,2,36354,1,51343,7466093688
364,1007,410713892910251044,345230000464194169,7060358606278335225,376551135226089794,753102270452179588,7011279648737175,1,640869638,1,587562763,7060358606278335225
365,1013,2470830281676648973107374922838012407140640633400062237198417692926470837369059625247861751333572765925,2368666561994754035340371555538308817314585422081876925102289212132283088885049765330523181751040064036,703150765439575230453247386036330621395140080407858452607127785574900910117927776881573077448938147677,76009644193588297866657308332624965022635421955900914870807999806226816550024109761191417336826522710,153995539136209891477847706681898179135859364882655253528257007607415530330348846376173811524410535010460,703150765439575230453247386036330621395140080407858452607127785574900910117927776881573077448938147677,1013,49387465004615107378746635863214547226849938833785,1,1539047290369842415694578216336519335269926954672006,153995539136209891477847706681898179135859364882655253528257007607415530330348846376173811524410535010460
366,1015,4901,140,52780,4899,4899,26,29,13,35,2,52780
367,1021,67514245973221,61152556400100,28610107568221,2010907751490,4106273628542580,28610107568221,1021,257149,1,7820010,4106273628542580
368,1022,800,289,1360,33,16863,340,2,20,1,17,16863
369,1023,58736896,4640625,189684000,10516481,326010911,2874000,1,7664,33,375,326010911
370,1030,181375687,3230882,694886204,81100803,405504015,1686617,103,1327,2,1271,694886204
371,1031,306664706695584340278115808400,98550768807882007933078087081,347689761776751073493839364040,9044077231965337101789407963,9324443626156262551944879609853,173844880888375536746919682020,1,553773154545780,1,313927967546509,9324443626156262551944879609853
372,1037,583702023125,540633737284,220052752563,17444470550,36179831920700,220052752563,1037,23725,1,735278,36179831920700
373,1038,3267,1058,9108,235,40655,759,3,33,2,23,40655
374,1039,369509960846729934400,215792618502895281,17859173778651482160,11463528163620944999,11910605762002161853961,8929586889325741080,1,19222641880,1,464534841,11910605762002161853961
375,1045,845,836,123,26,54340,123,5,13,209,2,54340
376,1046,5925902978,3848093089,103059926607,3376642289,13506569156,197055309,2,54433,1,62033,103059926607
377,1047,232049527838581,117915752916300,199857095406419,5112142108070,10704825574298580,199857095406419,349,815413,3,6269390,10704825574298580
378,1054,5725728,2436721,118945481,2641212,10564848,225703,2,1692,1,1561,118945481
379,1055,24618850839245,11678074905004,21672802844997,522027385906,1101477784261660,21672802844997,5,2218957,211,235258,1101477784261660
380,1057,61009,9216,47424,1855,1960735,23712,1,247,1,96,1960735
381,1061,128781337544607666464385288337675301,2745067435373562377335061377562500,1224871873776492550187822106887075500,128752077670822181435578880134550301,128752077670822181435578880134550301,577225199706169910550340295422750,1061,11017137603102721,1,52393391142142750,1224871873776492550187822106887075500
